-0.9117,-0.2723,0.7225
5.6912,-3.9123,4.5535
-1.8726,-2.4755,5.7514
-8.6506,-6.8487,-3.8425
6.5448,-3.4336,6.5779
8.2441,-3.263,6.4238
7.1393,-2.7985,4.8024
1.0322,-0.7597,0.4449
0.4676,-0.2866,0.1275
1.7814,-0.7798,0.0724
-1.655,-1.8277,4.9047
-1.9726,-2.3881,6.0848
-7.2169,-6.7764,-4.7066
7.9491,-3.3479,5.0405
-8.6832,-6.8292,-3.863
-1.9215,-1.3189,5.5226
6.5493,-3.1965,7.1406
7.2695,-3.6075,5.8031
-8.0587,-7.3778,-3.479
-0.0247,0.7847,-0.9351
-1.3005,-1.8064,5.4933
7.1724,-3.4711,7.0505
8.4278,-3.5578,6.2421
-7.3067,-6.8435,-4.5676
-0.1862,0.8262,-0.9984
6.6075,-3.2312,6.0862
-1.7894,-2.0071,7.239
0.1297,-0.5578,0.6059
-2.5794,1.8304,-0.9068
-7.377,-7.9488,-3.1563
1.6214,-1.0705,0.4727
1.3363,-0.5917,0.0237
-2.6326,-2.296,5.7853
-0.6547,-0.4206,0.8183
7.6732,-2.729,6.1545
-1.7326,-2.0882,5.7958
-1.9417,-1.267,6.0565
-7.8845,-7.5896,-3.3169
0.2641,-0.0103,-0.0798
6.141,-3.7733,5.9556
-0.6232,0.0355,0.266
-7.1492,-7.8429,-3.3786
7.2541,-2.2847,6.1792
7.8653,-1.9644,7.8519
-2.8606,-1.7542,5.0264
-8.0118,-7.0684,-3.9494
-2.4609,-1.316,6.1965
-2.0543,-1.1592,5.5073
-1.4384,-0.2302,0.9949
0.5694,-0.7025,0.5837
-8.3035,-5.6459,-5.463
-7.7474,-6.295,-4.9232
-2.4786,-2.4802,5.3045
-2.0534,-3.5572,5.3937
7.2634,-1.9901,6.0809
7.4645,-2.9213,6.7639
0.4827,0.3053,-0.6015
-8.0974,-6.8961,-4.0887
-2.4933,-1.8876,6.2154
6.487,-3.1954,6.0028
-8.0018,-7.1882,-3.8253
-1.5711,-2.6485,6.0031
-1.7784,-1.7517,6.0013
-9.4157,-5.8851,-4.62
-0.2736,-0.2365,0.4498
-2.8962,-1.755,6.5827
-1.8809,-1.7358,5.7688
0.1567,-0.2202,0.1428
-1.8643,-1.6254,6.4062
0.6567,-0.3185,-0.0071
6.1334,-2.929,6.2744
-0.7542,0.8824,-0.6964
-9.1482,-6.3592,-4.2223
7.0116,-3.3182,6.0667
7.4209,-3.314,6.2897
7.216,-2.8349,8.0863
-7.2936,-8.2135,-2.8449
-8.2442,-6.5746,-4.3449
7.2305,-2.4261,6.5532
-2.1723,-1.5366,6.0247
-1.6166,-2.3647,5.6973
-0.8637,-1.2616,6.9883
0.4472,-0.6516,0.5564
0.6185,0.4626,-0.9021
6.6292,-2.7799,5.9358
-2.1755,-2.6405,6.5056
1.0164,0.0575,-0.5714
-10.8662,-4.6671,-5.4579
6.5142,-3.5753,4.9952
-2.3296,-1.94,5.9525
-9.2242,-6.8321,-3.6269
-1.737,-2.4751,6.3739
0.7733,-1.0873,0.9557
-2.4531,-0.6762,5.5544
6.785,-1.4591,7.7014
-7.2316,-6.3185,-5.177
-7.8183,-6.7466,-4.4446
