-8.9838,-8.8101,-8.7325,6.8276,8.0838,-3.6102
-9.078,-8.9883,-9.1242,7.0751,8.1816,-4.0691
7.1802,-5.1141,-8.4475,-0.7136,1.3681,-1.5898
10.629,-9.0872,2.9779,6.4922,10.2654,7.7818
-9.0626,-8.9339,-9.0517,6.9821,8.3278,-4.0025
-9.1321,-8.9356,-9.0267,6.9625,7.8743,-3.9649
7.8366,-12.791,7.497,8.2015,8.0056,7.3296
4.5417,0.5702,7.6383,-3.4293,-9.6438,-2.173
-2.6623,-8.3905,-5.6676,5.3003,-6.7234,-7.7383
-0.7659,-8.5085,-7.8553,7.5543,-10.1103,-7.9536
-5.6292,-7.0501,-6.0719,4.1015,-5.8119,-8.8817
5.7739,-0.9338,7.4855,-3.5263,-9.7798,-2.1345
-4.3453,-8.5588,-6.0449,5.5101,-6.8013,-7.2851
8.6897,-10.9104,7.5996,7.6462,9.6963,6.6791
-9.1423,-9.0656,-8.768,6.7907,8.3224,-4.0272
-5.6738,-8.5186,-4.6911,3.3516,-6.8325,-10.5064
4.6562,0.1192,7.2328,-3.9275,-10.6214,-2.5469
10.465,-11.8194,5.8264,9.2982,6.9821,7.0421
7.3839,-4.3405,-7.2071,-1.0172,-0.9062,-1.3761
5.8282,-12.8244,8.5656,6.2125,8.6899,6.1848
-9.0743,-8.9195,-9.0044,6.818,8.0925,-3.8846
-2.6073,-9.934,-7.738,5.2749,-8.7113,-6.8669
-9.179,-9.1355,-8.8963,7.1199,7.9414,-3.8494
-3.1372,-9.358,-5.2741,5.5611,-8.3719,-8.6785
6.8677,-4.9984,-8.1982,-0.139,0.4743,-1.5495
-8.8578,-9.0672,-9.0978,6.7884,8.2067,-4.1621
-8.7871,-9.0891,-9.342,6.9519,7.9786,-4.1389
-9.1326,-9.1095,-8.5828,7.2715,7.7818,-4.2786
7.113,-9.3471,9.6627,8.265,10.6672,5.661
5.2389,0.3072,6.8358,-4.3137,-9.2798,-2.5697
-3.4902,-9.8927,-4.6346,5.5082,-9.8702,-10.3352
5.8625,0.4072,7.3448,-3.1858,-9.9134,-2.4693
7.0125,-5.5693,-8.4643,-0.8053,1.1137,-2.2395
-3.5509,-8.156,-6.5729,6.7409,-8.3614,-8.569
-3.2129,-8.9156,-8.3882,4.8112,-8.1859,-7.443
6.6945,-5.7736,-7.6309,-1.3214,-0.3961,-2.6045
-9.0608,-9.1329,-8.8562,7.042,8.1282,-3.8396
5.0374,0.4837,7.0995,-2.5912,-10.6672,-1.9161
7.5521,-4.8186,-7.6673,-1.408,-0.1279,-2.5094
-9.0891,-9.0053,-8.9582,6.9431,8.2314,-4.1323
10.0198,-9.7357,7.0601,9.6773,8.5665,6.9701
-2.6333,-9.2928,-7.6854,5.1717,-9.9536,-9.3303
5.2123,0.7294,7.314,-3.0764,-9.8503,-2.6663
4.289,-1.0763,6.9559,-3.1165,-10.4001,-2.1956
7.5094,-11.1047,5.727,6.2193,9.8366,7.1664
14.4331,-9.014,1.7866,10.099,8.4361,9.5346
7.9725,-12.199,6.5665,7.0893,8.3175,6.2411
6.7058,-4.9175,-7.194,-1.3023,0.3861,-1.7477
7.5414,-11.5193,7.4416,6.4227,9.0704,6.1838
7.7872,-4.4447,-8.5264,-0.993,0.3321,-3.3414
-3.8396,-7.3317,-3.2264,6.3727,-8.6857,-11.7088
-4.3476,-8.7242,-4.9124,5.1977,-7.979,-9.0972
-9.0991,-8.89,-9.0029,6.5618,7.9733,-3.9573
10.8794,-9.2015,4.8254,8.7542,8.5858,6.926
-3.2335,-8.5515,-7.0764,6.4324,-8.6076,-8.0661
10.3518,-7.769,5.5061,7.697,9.2944,5.2688
6.637,-5.2583,-9.9283,-1.3099,-0.1077,-0.8518
4.4254,-0.4026,6.5163,-2.4357,-9.5891,-1.5465
-3.1096,-10.9754,-6.2993,7.2606,-12.0124,-9.1809
5.42,1.0105,7.1236,-1.7743,-10.4882,-2.552
5.9948,0.5378,7.7368,-3.5086,-9.4958,-3.6496
-9.222,-9.3322,-8.8271,6.8783,7.9232,-4.1506
-8.9986,-8.9611,-8.905,6.851,7.9488,-3.986
10.0967,-9.5479,5.9754,7.4199,8.5787,5.1556
-9.3111,-8.8821,-8.8901,7.2344,7.9099,-4.2365
5.4163,0.1983,6.7508,-2.6731,-9.3406,-1.7855
7.5585,-10.8215,6.5118,6.565,9.7541,6.7496
-9.0516,-9.2992,-9.0725,6.856,8.0449,-3.7684
-8.9571,-8.7516,-9.0628,7.0334,8.0474,-4.0783
